# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec   mclk   pclk  pviol  tviol     fb   bar1  rxpci  txpci 
# Idx      W      C      C      %      %      %      %    MHz    MHz      %   bool     MB     MB   MB/s   MB/s 
    0     67     54      -    79      3      0     15   7000   1950      0      0      1      3      0      0 
    0     66     54      -     5      0      0      2   6801   1950      0      0   1198     18   5101   1646 
    0     68     54      -    80      3      0     13   6801   1950      0      0   1198     18   4105   1251 
    0     68     54      -    78      3      0     13   6801   1950      0      0   1198     18   4363   1260 
    0     68     54      -    78      3      0     13   6801   1950      0      0   1198     18   4812   1242 
    0     69     54      -    77      3      0     13   6801   1950      0      0   1198     18   4349   1426 
    0     71     54      -    77      3      0     13   6801   1950      0      0   1198     18   4947   1242 
    0     68     54      -    78      3      0     13   6801   1950      0      0   1198     18   4573   1250 
    0     68     54      -    78      3      0     13   6801   1950      0      0   1198     18   4637   1251 
    0     69     54      -    78      3      0     13   6801   1950      0      0   1198     18   4892   1221 
    0     69     54      -    78      3      0     13   6801   1950      0      0   1198     18   4813   1276 
    0     69     54      -    77      3      0     13   6801   1950      0      0   1198     18   3997   1239 
    0     68     54      -    78      3      0     13   6801   1950      0      0   1198     18   4810   1263 
    0     69     54      -    78      3      0     13   6801   1950      0      0   1198     18   5053   1244 
    0     69     54      -    78      3      0     13   6801   1950      0      0   1198     18   4903   1244 
    0     68     54      -    78      3      0     13   6801   1950      0      0   1198     18   4206   1243 
    0     69     54      -    78      3      0     13   6801   1950      0      0   1198     18   4892   1437 
    0     67     54      -    78      3      0     13   6801   1950      0      0   1198     18   4914   1270 
    0     69     54      -    78      3      0     13   6801   1950      0      0   1198     18   4540   1243 
    0     68     54      -    79      3      0     13   6801   1950      0      0   1198     18   4455   1252 
    0     69     54      -    79      3      0     13   6801   1950      0      0   1198     18   4840   1246 
    0     69     54      -    78      3      0     13   6801   1950      0      0   1198     18   4955   1450 
    0     68     54      -    77      3      0     13   6801   1950      0      0   1198     18   4921   1780 
    0     69     54      -    77      3      0     13   6801   1950      0      0   1198     18   4913   1850 
    0     69     54      -    77      3      0     13   6801   1950      0      0   1198     18   4623   1600 
    0     68     54      -    77      3      0     13   6801   1950      0      0   1198     18   4754   1709 
    0     69     53      -    77      3      0     13   6801   1950      0      0   1198     18   4928   1248 
    0     68     53      -    78      3      0     13   6801   1950      0      0   1198     18   4855   1241 
    0     69     53      -    79      3      0     13   6801   1950      0      0   1198     18   4755   1243 
    0     69     53      -    77      3      0     13   6801   1950      0      0   1198     18   4943   1246 
    0     68     53      -    78      3      0     13   6801   1950      0      0   1198     18   4932   1248 
    0     69     53      -    79      3      0     13   6801   1950      0      0   1198     18   4859   1749 
    0     68     53      -    79      3      0     13   6801   1950      0      0   1198     18   4325   1267 
    0     68     53      -    78      3      0     13   6801   1950      0      0   1198     18   4290   1267 
    0     68     53      -    77      3      0     13   6801   1950      0      0   1198     18   4870   1266 
    0     69     53      -    77      3      0     13   6801   1950      0      0   1198     18   4816   1231 
    0     68     53      -    77      3      0     13   6801   1950      0      0   1198     18   4334   1266 
    0     68     53      -    78      3      0     13   6801   1950      0      0   1198     18   5088   1265 
    0     69     53      -    77      3      0     13   6801   1950      0      0   1198     18   4665   1506 
    0     69     53      -    79      3      0     13   6801   1950      0      0   1198     18   4071   1267 
    0     68     53      -    78      3      0     13   6801   1950      0      0   1198     18   3997   1632 
    0     68     53      -    78      3      0     13   6801   1950      0      0   1198     18   4885   1852 
    0     69     53      -    78      3      0     13   6801   1950      0      0   1198     18   4971   1271 
    0     68     53      -    77      3      0     13   6801   1950      0      0   1198     18   4782   1214 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec   mclk   pclk  pviol  tviol     fb   bar1  rxpci  txpci 
# Idx      W      C      C      %      %      %      %    MHz    MHz      %   bool     MB     MB   MB/s   MB/s 
    0     68     53      -    78      3      0     13   6801   1950      0      0   1198     18   4911   1505 
    0     69     53      -    78      3      0     13   6801   1950      0      0   1198     18   4048   1238 
    0     68     53      -    78      3      0     13   6801   1950      0      0   1198     18   4901   1257 
    0     68     53      -    78      3      0     13   6801   1950      0      0   1198     18   4347   1237 
    0     69     53      -    78      3      0     13   6801   1950      0      0   1198     18   4881   1232 
    0     69     53      -    78      3      0     13   6801   1950      0      0   1198     18   4389   1436 
    0     68     53      -    78      3      0     13   6801   1950      0      0   1198     18   4943   1263 
    0     67     53      -    78      3      0     13   6801   1950      0      0   1198     18   4715   1239 
    0     69     53      -    76      3      0     13   6801   1950      0      0   1198     18   4424   1242 
    0     68     53      -    78      3      0     13   6801   1950      0      0   1198     18   4896   1257 
    0     67     53      -    77      3      0     13   6801   1950      0      0   1198     18   4927   1255 
    0     67     53      -    77      3      0     13   6801   1950      0      0   1198     18   4700   1247 
    0     69     53      -    77      3      0     13   6801   1950      0      0   1198     18   4771   1813 
    0     68     53      -    76      3      0     13   6801   1950      0      0   1198     18   4892   1227 
    0     68     53      -    77      3      0     13   6801   1950      0      0   1198     18   4697   1240 
