
#Trial: 0 for _gpu_3_16_6
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec   mclk   pclk  pviol  tviol     fb   bar1  rxpci  txpci 
# Idx      W      C      C      %      %      %      %    MHz    MHz      %   bool     MB     MB   MB/s   MB/s 
    0     73     54      -    24      5      0     50   7000   1950      0      0      1      3      0      0 
    0     73     54      -     3      1      0      5   6801   1950      0      0    430      6     27   2850 
    0     73     54      -    24      5      0     50   6801   1950      0      0    430      6     25   3126 
    0     73     54      -    23      5      0     50   6801   1950      0      0    430      6     27   3141 
    0     74     54      -    23      5      0     50   6801   1950      0      0    430      6     25   3193 
    0     73     54      -    23      5      0     50   6801   1950      0      0    430      6     26   2806 
    0     74     54      -    23      5      0     50   6801   1950      0      0    430      6     23   3421 
    0     74     54      -    23      5      0     50   6801   1950      0      0    430      6     25   3193 
    0     74     54      -    23      5      0     50   6801   1950      0      0    430      6     24   3005 
    0     74     54      -    23      5      0     50   6801   1950      0      0    430      6     24   3306 
    0     74     54      -    23      5      0     50   6801   1950      0      0    430      6     26   3193 
    0     74     54      -    23      5      0     50   6801   1950      0      0    430      6     29   3421 
    0     74     54      -    23      5      0     50   6801   1950      0      0    430      6     48   2952 
    0     74     54      -    23      5      0     50   6801   1950      0      0    430      6     47   3421 
    0     74     54      -    23      5      0     50   6801   1950      0      0    430      6     47   3193 
    0     74     54      -    23      5      0     50   6801   1950      0      0    430      6     33   2740 

#Trial: 1 for _gpu_3_16_6
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec   mclk   pclk  pviol  tviol     fb   bar1  rxpci  txpci 
# Idx      W      C      C      %      %      %      %    MHz    MHz      %   bool     MB     MB   MB/s   MB/s 
    0     73     54      -    23      5      0     50   7000   1950      0      0      1      3      0      0 
    0     74     54      -     7      2      0     15   6801   1950      0      0    430      6     23   3421 
    0     74     54      -    24      5      0     50   6801   1950      0      0    430      6     27   3396 
    0     73     54      -    23      5      0     50   6801   1950      0      0    430      6     30   3291 
    0     74     54      -    23      5      0     50   6801   1950      0      0    430      6     25   3421 
    0     74     54      -    23      5      0     50   6801   1950      0      0    430      6     25   3107 
    0     74     54      -    23      5      0     50   6801   1950      0      0    430      6     24   3421 
    0     73     54      -    23      5      0     50   6801   1950      0      0    430      6     25   3178 
    0     74     54      -    23      5      0     50   6801   1950      0      0    430      6     25   3015 
    0     74     54      -    23      5      0     50   6801   1950      0      0    430      6     31   2740 
    0     74     54      -    23      5      0     50   6801   1950      0      0    430      6     49   3421 
    0     74     54      -    23      5      0     50   6801   1950      0      0    430      6     50   2811 
    0     73     54      -    23      5      0     50   6801   1950      0      0    430      6     45   3421 
    0     75     54      -    23      5      0     50   6801   1950      0      0    430      6     26   2740 
    0     74     54      -    23      5      0     50   6801   1950      0      0    430      6     28   2740 
    0     73     54      -    24      5      0     50   6801   1950      0      0    430      6     30   2913 

#Trial: 2 for _gpu_3_16_6
