# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4  of event 'context-switches'
# Event count (approx.): 4
#
# Overhead  Command   Shared Object      Symbol      
# ........  ........  .................  ............
#
   100.00%  handin_1  [kernel.kallsyms]  [k] schedule


# Samples: 0  of event 'cpu-migrations'
# Event count (approx.): 0
#
# Overhead  Command  Shared Object  Symbol
# ........  .......  .............  ......
#


# Samples: 3K of event 'cycles'
# Event count (approx.): 1371495570
#
# Overhead  Command   Shared Object      Symbol                                        
# ........  ........  .................  ..............................................
#
    66.74%  handin_1  handin_1           [.] ConcurrentOutput::con_worker
     6.39%  handin_1  handin_1           [.] ConcurrentOutput::run
     3.76%  handin_1  [kernel.kallsyms]  [k] clear_page_rep
     3.64%  handin_1  [kernel.kallsyms]  [k] page_fault
     3.36%  handin_1  [kernel.kallsyms]  [k] release_pages
     1.59%  handin_1  [kernel.kallsyms]  [k] free_pcppages_bulk
     1.23%  handin_1  [kernel.kallsyms]  [k] unmap_page_range
     1.03%  handin_1  [kernel.kallsyms]  [k] __dec_node_state
     0.86%  handin_1  [kernel.kallsyms]  [k] page_remove_rmap
     0.81%  handin_1  [kernel.kallsyms]  [k] get_page_from_freelist
     0.61%  handin_1  [kernel.kallsyms]  [k] __mod_zone_page_state
     0.56%  handin_1  [kernel.kallsyms]  [k] free_unref_page_commit
     0.48%  handin_1  [kernel.kallsyms]  [k] uncharge_page
     0.45%  handin_1  [kernel.kallsyms]  [k] get_mem_cgroup_from_mm
     0.43%  handin_1  [kernel.kallsyms]  [k] free_unref_page_list
     0.38%  handin_1  [kernel.kallsyms]  [k] __handle_mm_fault
     0.33%  handin_1  [kernel.kallsyms]  [k] do_anonymous_page
     0.33%  handin_1  [kernel.kallsyms]  [k] handle_mm_fault
     0.33%  handin_1  [kernel.kallsyms]  [k] free_pages_and_swap_cache
     0.30%  handin_1  [kernel.kallsyms]  [k] perf_event_task_tick
     0.30%  handin_1  [kernel.kallsyms]  [k] free_pcp_prepare
     0.30%  handin_1  [kernel.kallsyms]  [k] __do_page_fault
     0.28%  handin_1  [kernel.kallsyms]  [k] _raw_spin_lock
     0.28%  handin_1  [kernel.kallsyms]  [k] vmacache_find
     0.28%  handin_1  [kernel.kallsyms]  [k] mem_cgroup_update_lru_size
     0.25%  handin_1  [kernel.kallsyms]  [k] free_unref_page_prepare.part.64
     0.25%  handin_1  [kernel.kallsyms]  [k] swapgs_restore_regs_and_return_to_usermode
     0.25%  handin_1  [kernel.kallsyms]  [k] __mod_node_page_state
     0.23%  handin_1  [kernel.kallsyms]  [k] sync_regs
     0.21%  handin_1  [kernel.kallsyms]  [k] native_write_msr
     0.20%  handin_1  [kernel.kallsyms]  [k] __inc_numa_state
     0.20%  handin_1  [kernel.kallsyms]  [k] up_read
     0.18%  handin_1  [kernel.kallsyms]  [k] mem_cgroup_try_charge
     0.18%  handin_1  [kernel.kallsyms]  [k] __lru_cache_add
     0.18%  handin_1  [kernel.kallsyms]  [k] page_add_new_anon_rmap
     0.18%  handin_1  [kernel.kallsyms]  [k] __pagevec_lru_add_fn
     0.15%  handin_1  [kernel.kallsyms]  [k] __alloc_pages_nodemask
     0.15%  handin_1  [kernel.kallsyms]  [k] __dec_node_page_state
     0.15%  handin_1  [kernel.kallsyms]  [k] error_entry
     0.13%  handin_1  [kernel.kallsyms]  [k] mem_cgroup_charge_statistics
     0.13%  handin_1  [kernel.kallsyms]  [k] _vm_normal_page
     0.10%  handin_1  [kernel.kallsyms]  [k] alloc_pages_vma
     0.10%  handin_1  [kernel.kallsyms]  [k] do_page_fault
     0.10%  handin_1  [kernel.kallsyms]  [k] mem_cgroup_uncharge_list
     0.10%  handin_1  [kernel.kallsyms]  [k] down_read_trylock
     0.08%  handin_1  [kernel.kallsyms]  [k] read_tsc
     0.08%  handin_1  [kernel.kallsyms]  [k] pagevec_lru_move_fn
     0.08%  handin_1  [kernel.kallsyms]  [k] memcg_check_events
     0.08%  handin_1  [kernel.kallsyms]  [k] mem_cgroup_commit_charge
     0.08%  handin_1  [kernel.kallsyms]  [k] __page_set_anon_rmap
     0.05%  handin_1  [kernel.kallsyms]  [k] __hrtimer_run_queues
     0.05%  handin_1  [kernel.kallsyms]  [k] rcu_check_callbacks
     0.05%  handin_1  [kernel.kallsyms]  [k] __indirect_thunk_start
     0.05%  handin_1  [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.05%  handin_1  [kernel.kallsyms]  [k] _raw_spin_unlock_irqrestore
     0.05%  handin_1  [kernel.kallsyms]  [k] mem_cgroup_page_lruvec
     0.05%  handin_1  [kernel.kallsyms]  [k] get_vma_policy.part.36
     0.05%  handin_1  [kernel.kallsyms]  [k] native_iret
     0.05%  handin_1  [kernel.kallsyms]  [k] pmd_devmap_trans_unstable
     0.03%  handin_1  [kernel.kallsyms]  [k] decay_load
     0.03%  handin_1  [kernel.kallsyms]  [k] calc_global_load_tick
     0.03%  handin_1  [kernel.kallsyms]  [k] raise_softirq
     0.03%  handin_1  [kernel.kallsyms]  [k] perf_swevent_stop
     0.03%  handin_1  [kernel.kallsyms]  [k] __update_load_avg_se.isra.38
     0.03%  handin_1  [kernel.kallsyms]  [k] update_curr
     0.03%  handin_1  [kernel.kallsyms]  [k] ntp_get_next_leap
     0.03%  handin_1  [kernel.kallsyms]  [k] hrtimer_active
     0.03%  handin_1  [kernel.kallsyms]  [k] native_read_msr
     0.03%  handin_1  [kernel.kallsyms]  [k] change_prot_numa
     0.03%  handin_1  [kernel.kallsyms]  [k] __wake_up_common
     0.03%  handin_1  [kernel.kallsyms]  [k] pmd_page_vaddr
     0.03%  handin_1  [kernel.kallsyms]  [k] update_cfs_rq_h_load
     0.03%  handin_1  [kernel.kallsyms]  [k] run_posix_cpu_timers
     0.03%  handin_1  [kernel.kallsyms]  [k] cpumask_next_and
     0.03%  handin_1  [kernel.kallsyms]  [k] ___perf_sw_event
     0.03%  handin_1  [kernel.kallsyms]  [k] policy_node
